Offer ID,Data ID,Date,Drop Number,Delivered,Clicks,CTR,Revenue,eCPM,Offer Type,Audience Type
115,76,11/1/2022,2,124248,1137,0.009151053,530.00,4.265662224,Credit Card,Credit Card
126,76,11/1/2022,3,124046,46,0.00037083,375.00,3.023072086,Home Security,Credit Card
573,97,11/1/2022,2,176291,165,0.000935952,630.00,3.573636771,Education,Housing
385,97,11/1/2022,3,176417,168,0.000952289,1800.00,10.20309834,Home Security,Housing
145,97,11/1/2022,4,176463,674,0.003819498,444.00,2.516108193,Shopping,Housing
699,97,11/1/2022,5,176474,722,0.004091254,1056.00,5.983884312,Credit Card,Housing
787,54,11/1/2022,2,203810,113,0.000554438,132.00,0.647662038,Home Financing,Mortgage
787,54,11/1/2022,2,100082,369,0.003686977,264.00,2.637836974,Home Financing,Mortgage
508,54,11/1/2022,3,203794,31,0.000152114,508.50,2.495166688,Home Improvement,Mortgage
508,54,11/1/2022,3,100022,159,0.00158965,1186.50,11.86239027,Home Improvement,Mortgage
808,54,11/1/2022,4,203790,115,0.000564306,252.74,1.240198243,Home Solar,Mortgage
808,54,11/1/2022,4,99945,242,0.002421332,132.77,1.328430637,Home Solar,Mortgage
126,30,11/1/2022,2,145747,257,0.00176333,3600.00,24.70033689,Home Security,Lending
419,30,11/1/2022,3,119727,532,0.004443442,1369.43,11.43793798,Credit Card,Lending
432,76,11/2/2022,2,125415,1306,0.010413427,735.00,5.860542997,Credit Card,Credit Card
182,97,11/2/2022,3,175496,263,0.00149861,840.00,4.786433879,Auto Insurance,Housing
869,54,11/2/2022,2,203588,85,0.00041751,84.00,0.412597992,Home Financing,Mortgage
869,54,11/2/2022,2,100318,247,0.00246217,84.00,0.837337267,Home Financing,Mortgage
467,54,11/2/2022,3,203574,34,0.000167015,770.70,3.785846916,Identity Protection,Mortgage
467,54,11/2/2022,3,100258,133,0.001326577,1798.30,17.93672325,Identity Protection,Mortgage
913,54,11/2/2022,4,203505,118,0.000579838,495.00,2.432372669,Home Warranty,Mortgage
913,54,11/2/2022,4,100196,318,0.003173779,627.00,6.25773484,Home Warranty,Mortgage
227,30,11/2/2022,2,145557,163,0.001119836,1300.00,8.93120908,Credit Repair,Lending
937,30,11/2/2022,3,145511,33,0.000226787,1499.00,10.30162668,Identity Protection,Lending
952,76,11/2/2022,3,125849,878,0.006976615,1001.00,7.953976591,Shopping,Credit Card
687,97,11/2/2022,2,175443,1188,0.00677143,422.70,2.409329526,Rent To Own,Housing
109,97,11/2/2022,4,175536,1635,0.009314329,1052.67,5.996889527,Home Financing,Housing
112,97,11/2/2022,5,175487,113,0.000643922,360.00,2.051434009,Identity Protection,Housing
542,76,11/3/2022,3,126324,361,0.002857731,457.00,3.617681517,Health,Credit Card
719,76,11/3/2022,2,126269,324,0.00256595,600.00,4.751760131,Credit Card,Credit Card
421,97,11/3/2022,5,175284,391,0.002230666,360.00,2.053809817,Injury Claim,Housing
320,54,11/3/2022,2,206662,134,0.000648402,550.20,2.662318181,Personal Care,Mortgage
865,54,11/3/2022,3,206558,479,0.002318961,816.00,3.950464276,Home Financing,Mortgage
399,30,11/3/2022,2,145552,164,0.001126745,1070.00,7.351324613,Injury Claim,Lending
169,30,11/3/2022,3,145380,1085,0.0074632,1860.00,12.79405695,Credit Card,Lending
168,97,11/3/2022,2,175227,132,0.000753309,735.00,4.194559058,Home Financing,Housing
619,97,11/3/2022,3,175184,143,0.000816285,735.00,4.195588638,Life Insurance,Housing
255,97,11/3/2022,4,175278,858,0.004895081,590.00,3.366081311,Credit Score,Housing
983,76,11/4/2022,2,126771,399,0.003147408,216.75,1.709775895,Credit Card,Credit Card
540,97,11/4/2022,5,175190,425,0.002425938,300.00,1.712426508,Credit Card,Housing
399,54,11/4/2022,2,206222,38,0.000184267,552.90,2.681091251,Injury Claim,Mortgage
838,54,11/4/2022,3,206037,443,0.002150099,516.00,2.504404549,Home Financing,Mortgage
647,30,11/4/2022,2,145301,343,0.002360617,95.55,0.657600429,Loan,Lending
837,30,11/4/2022,3,145159,828,0.00570409,1092.00,7.52278536,Survey,Lending
256,30,11/4/2022,4,145048,1210,0.008342066,1752.20,12.08013899,Credit Card,Lending
563,76,11/4/2022,3,126821,62,0.000488878,61.36,0.483831542,Loan,Credit Card
399,76,11/4/2022,4,125847,23,0.000182762,865.00,6.873425668,Injury Claim,Credit Card
227,76,11/4/2022,5,126860,141,0.001111461,700.00,5.517893741,Credit Repair,Credit Card
687,97,11/4/2022,2,175076,796,0.004546597,274.50,1.567890516,Rent To Own,Housing
399,97,11/4/2022,3,175184,199,0.001135948,735.00,4.195588638,Injury Claim,Housing
837,97,11/4/2022,4,175182,618,0.00352776,751.00,4.286970123,Survey,Housing
699,76,11/5/2022,2,127179,431,0.003388924,1104.00,8.680678414,Credit Card,Credit Card
950,97,11/5/2022,5,175045,208,0.001188266,1425.00,8.140763804,Life Insurance,Housing
789,97,11/5/2022,2,174906,325,0.001858141,1638.00,9.365030359,Employment,Housing
227,97,11/5/2022,3,174993,340,0.001942935,545.00,3.114410291,Credit Repair,Housing
543,54,11/5/2022,2,202300,384,0.001898171,236.00,1.166584281,Credit Score,Mortgage
551,54,11/5/2022,3,201809,202,0.001000946,168.00,0.832470306,Home Financing,Mortgage
385,54,11/5/2022,4,201666,72,0.000357026,1355.00,6.719030476,Home Security,Mortgage
140,30,11/5/2022,2,144858,155,0.001070013,1464.00,10.10644907,Auto Warranty,Lending
176,30,11/5/2022,3,144774,197,0.001360742,1020.00,7.045463965,Home Security,Lending
250,76,11/5/2022,3,126299,418,0.003309607,685.71,5.429259139,Credit Card,Credit Card
837,76,11/5/2022,4,127275,586,0.004604203,883.00,6.937733255,Survey,Credit Card
752,97,11/5/2022,4,174983,265,0.001514433,736.00,4.206122881,Health,Housing
223,76,11/6/2022,5,127663,311,0.002436101,1305.00,10.2222257,Auto Purchase,Credit Card
534,76,11/6/2022,3,127637,496,0.003886021,483.44,3.787616444,Bank Account,Credit Card
885,97,11/6/2022,3,174884,208,0.00118936,1485.00,8.491342833,Education,Housing
1000,97,11/6/2022,4,174894,724,0.00413965,630.00,3.602181893,Credit Card,Housing
222,97,11/6/2022,5,174904,685,0.003916434,488.99,2.795762247,Loan,Housing
685,97,11/6/2022,2,174824,120,0.000686405,0.00,0,Tax Debt,Housing
885,54,11/6/2022,2,201425,62,0.000307807,720.00,3.574531463,Education,Mortgage
962,54,11/6/2022,3,201308,237,0.0011773,276.00,1.371033441,Home Financing,Mortgage
837,54,11/6/2022,4,201166,120,0.000596522,1882.00,9.355457682,Survey,Mortgage
772,30,11/6/2022,2,144690,702,0.004851752,632.71,4.372866128,Loan,Lending
656,30,11/6/2022,3,144614,3911,0.027044408,4720.00,32.63861037,Credit Card,Lending
540,76,11/6/2022,2,127572,373,0.002923839,480.00,3.762581131,Credit Card,Credit Card
246,76,11/6/2022,4,127653,283,0.002216948,119.20,0.933781423,Loan,Credit Card
789,76,11/7/2022,4,128220,48,0.000374357,296.00,2.30853221,Employment,Credit Card
767,97,11/7/2022,5,174750,301,0.001722461,500.00,2.861230329,Beauty,Housing
654,54,11/7/2022,2,201312,50,0.000248371,70.50,0.35020267,Healthcare,Mortgage
739,30,11/7/2022,2,144523,1487,0.01028902,1344.00,9.299557856,Credit Card,Lending
540,30,11/7/2022,3,144441,1284,0.008889443,2040.00,14.12341371,Credit Card,Lending
351,76,11/7/2022,2,128072,691,0.005395403,900.00,7.027297145,Credit Card,Credit Card
305,76,11/7/2022,3,127186,16,0.0001258,210.00,1.651125124,Home Security,Credit Card
861,97,11/7/2022,2,174666,202,0.001156493,1200.00,6.87025523,Education,Housing
140,97,11/7/2022,3,174729,274,0.001568143,1014.00,5.803272496,Auto Warranty,Housing
687,97,11/7/2022,4,174745,790,0.004520873,270.60,1.548542161,Rent To Own,Housing
1000,76,11/8/2022,2,128952,1489,0.011546932,940.00,7.28953409,Credit Card,Credit Card
573,97,11/8/2022,5,174557,115,0.000658811,420.00,2.406090847,Education,Housing
699,97,11/8/2022,4,174567,771,0.004416642,1104.00,6.324219354,Credit Card,Housing
256,97,11/8/2022,3,152813,605,0.003959087,810.30,5.302559337,Credit Card,Housing
227,54,11/8/2022,2,200422,171,0.0008532,390.00,1.945894163,Credit Repair,Mortgage
227,54,11/8/2022,2,100497,176,0.001751296,910.00,9.054996667,Credit Repair,Mortgage
839,54,11/8/2022,3,100426,416,0.004142354,288.00,2.867783243,Home Financing,Mortgage
619,54,11/8/2022,4,100330,223,0.002222665,1338.40,13.33997807,Life Insurance,Mortgage
250,30,11/8/2022,2,119474,429,0.003590739,1370.00,11.46693004,Credit Card,Lending
1000,30,11/8/2022,3,144409,2337,0.016183202,1500.00,10.38716423,Credit Card,Lending
619,76,11/8/2022,3,129011,69,0.000534838,313.00,2.426149708,Life Insurance,Credit Card
385,76,11/8/2022,4,129069,28,0.000216938,525.00,4.067591753,Home Security,Credit Card
687,97,11/8/2022,2,174518,941,0.005391994,311.70,1.786062183,Rent To Own,Housing
467,76,11/9/2022,4,129665,37,0.000285351,1231.00,9.493695292,Identity Protection,Credit Card
656,76,11/9/2022,2,129219,675,0.00522369,780.00,6.036264017,Credit Card,Credit Card
842,97,11/9/2022,3,174423,129,0.000739581,1123.00,6.438371086,Identity Protection,Housing
413,97,11/9/2022,5,174548,170,0.000973944,0.00,0,Injury Claim,Housing
726,97,11/9/2022,4,174535,203,0.00116309,804.00,4.606525912,Home Financing,Housing
963,97,11/9/2022,2,174374,274,0.001571335,700.00,4.014359939,Structured Settlement,Housing
116,54,11/9/2022,2,199498,186,0.00093234,341.40,1.711295351,Home Delivery,Mortgage
116,54,11/9/2022,2,101747,163,0.001602013,796.60,7.829223466,Home Delivery,Mortgage
964,54,11/9/2022,3,101696,575,0.005654106,1044.00,10.2658905,Home Financing,Mortgage
140,54,11/9/2022,4,101561,195,0.001920028,1779.40,17.52050492,Auto Warranty,Mortgage
446,30,11/9/2022,2,144493,271,0.001875523,964.14,6.672572374,Loan,Lending
227,30,11/9/2022,3,144476,135,0.000934411,1300.00,8.998034276,Credit Repair,Lending
256,76,11/9/2022,3,128655,1425,0.011076134,2464.40,19.15510474,Credit Card,Credit Card
435,97,11/10/2022,5,174445,206,0.001180888,420.00,2.407635644,Education,Housing
687,97,11/10/2022,2,174392,2205,0.012643929,845.70,4.849419698,Rent To Own,Housing
227,76,11/10/2022,3,129650,113,0.000871577,700.00,5.399151562,Credit Repair,Credit Card
169,76,11/10/2022,2,130318,1608,0.012339048,1620.00,12.43113001,Credit Card,Credit Card
340,54,11/10/2022,2,102386,145,0.001416209,1378.30,13.46180142,Office Supplies,Mortgage
828,54,11/10/2022,3,102331,494,0.004827472,1212.00,11.84391827,Home Financing,Mortgage
840,54,11/10/2022,4,102223,307,0.003003238,1290.10,12.62044745,Injury Claim,Mortgage
840,30,11/10/2022,2,144599,994,0.006874183,1070.00,7.399774549,Injury Claim,Lending
351,30,11/10/2022,3,144555,1156,0.007996956,810.00,5.603403549,Credit Card,Lending
952,76,11/10/2022,4,130428,241,0.001847763,338.00,2.59146809,Shopping,Credit Card
969,76,11/10/2022,5,130478,151,0.001157283,60.10,0.46061405,Loan,Credit Card
840,97,11/10/2022,3,174458,341,0.001954625,735.00,4.213048413,Injury Claim,Housing
619,97,11/10/2022,4,174391,132,0.00075692,637.00,3.652711436,Life Insurance,Housing
558,97,11/11/2022,3,174333,139,0.000797325,570.00,3.269604722,Home Sale,Housing
999,76,11/11/2022,4,131092,277,0.00211302,204.20,1.557684679,Loan,Credit Card
182,97,11/11/2022,4,174328,235,0.001348034,990.00,5.678950025,Auto Insurance,Housing
789,97,11/11/2022,2,174292,281,0.001612237,836.00,4.796548321,Employment,Housing
353,97,11/11/2022,5,174412,193,0.001106575,234.00,1.341650804,Debt,Housing
256,54,11/11/2022,2,200027,153,0.000764897,390.15,1.950486684,Credit Card,Mortgage
256,54,11/11/2022,2,102693,219,0.00213257,0.00,0,Credit Card,Mortgage
787,54,11/11/2022,3,199908,274,0.00137063,492.00,2.461132121,Home Financing,Mortgage
787,54,11/11/2022,3,102286,461,0.004506971,0.00,0,Home Financing,Mortgage
176,54,11/11/2022,4,198852,109,0.000548146,2310.00,11.61667974,Home Security,Mortgage
176,54,11/11/2022,4,102589,340,0.003314195,0.00,0,Home Security,Mortgage
385,30,11/11/2022,2,144435,123,0.000851594,1425.00,9.866029702,Home Security,Lending
256,30,11/11/2022,3,119465,1686,0.01411292,2686.20,22.48524672,Credit Card,Lending
840,76,11/11/2022,2,130913,340,0.002597145,865.00,6.607441583,Injury Claim,Credit Card
140,76,11/11/2022,3,131033,128,0.000976853,692.00,5.281112392,Auto Warranty,Credit Card
920,76,11/12/2022,3,131651,93,0.000706413,540.00,4.10175388,Education,Credit Card
938,76,11/12/2022,2,131567,1330,0.010108918,540.00,4.104372677,Credit Card,Credit Card
837,97,11/12/2022,3,174409,884,0.005068546,841.00,4.821998865,Survey,Housing
232,54,11/12/2022,2,199586,571,0.002860922,349.80,1.75262794,Shopping,Mortgage
232,54,11/12/2022,2,102618,259,0.002523924,816.20,7.953770294,Shopping,Mortgage
869,54,11/12/2022,3,199700,429,0.002148222,1140.00,5.708562844,Home Financing,Mortgage
869,54,11/12/2022,3,102890,514,0.004995626,0.00,0,Home Financing,Mortgage
699,54,11/12/2022,4,199544,232,0.001162651,912.00,4.570420559,Credit Card,Mortgage
